sentiment,content
1,second last biology first time ever time haha
1,eagle make saturday night much better
0,3d version sold regular version is
1,england summer holiday year yay
0,staying home unpacking crap
1,_chloe yes youtube may 7th made feel 100x better halarious
0,annie713 ugly gray outside even san diego cold get 70 may gray june gloom u
0,
1,
1,mikefoong lol like challenge impossible want try
0,luuloo im really sorry know wallah u feel life shittttttttt
1,happy imma get see lovely lady
1,tiffaniallen happy got hair did cant wait til get back see it leaving today
1,tanahuffman mmmm macrina bakery
1,date vaahedh _ well atleast last one
1,happy mother s day mother
1,stonebrewingco um thats favorite beer must torture can t make there
1,signed twitter yay
0,
1,day long text conversation me
0,god miss bf fuckin much month snï ½ff
0,janegoth ha however got gardening something eternally pleased
0,woke missing alabama terribly dad say moving there soon thank god
0,creative party me myself moi
1,secretvampire nice see twitter
0,
0,fab day placement working weekend
1,coach say come along way faster alot people oh yeah who man ohh sore
1,ive chosen grease
1,feel like throwing up
0,jessicaca yeah know dealin yr
1,enjoying nice weather stuck indoors writing essay
1,joining twitter added random person
0,wish yesterday friday
0,bowwow614 would afraid got two left foot
1,finished 1st new song soon youtube keeping updated
0,realdawnsummers haha quot work quot can t read anything
1,doin damn thing crib bout watch star trek yup
0,tired going take nap finger hurt
0,supposed great weather today amp 2moro luck im stuck work 1 10 day
1,themadmodel soooo happy back
0,tooth bloody killing sure wait next week get fixed
1,snowded nice one
0,
0,accounting class detention
1,krystania thanks mine bad made card mom nice nap finished work wrote bill surprise
1,enjoyed see n everyone last night even tho really bad night financially cant wait kick drive in
1,therealingrosso nto milk deffo
1,kayles yessss doe yay told awesome
0,save pix today show please credit www wireimage com thanks
1,new baby arrived yesterday fab baby boy 2 8 kilo proud happy
1,wish kirstiealley happy mother s day
1,sarah_leann make feel better im studying sat night w o blackberry
1,tadasauce good time
1,omds holly steel bless her x
0,irrationallogic yeah daw awww wear mask na
1,heyshanny can t wait either welcome yay
0,iamdiddy knew gonna kind party would ve stuck dick mashed potato
0,bonescrazy24 week too but biology exam revise bone time limited
1,singapore warm here blast already
1,foooood yummy so whose washing dish rofl
0,like sick guidance counsellor supposed take kid school bowling amp pizza
1,
1,ckanal funny say am filling speak cheer
1,shanedawson haha yay love mr shane dawson
1,heading home now yay going buy much needed bottle wine drink dinner wallet mia wine tonight
0,ac fan doesnt swing way sweating hot humid day
0,soo sick hate life
0,tanyaahedo know drizzling way work hope warms weekend
1,hadoukenuk http twitpic com 4hsd2 weheyyyy give thanks midi keyboard
0,bwarg can t sleep tired drawing
1,say quot oh man quot jovani asks quot did call old man quot haha
0,feel actual heartbreak levanah_gates last night x
1,lurkey hahaha chivalry s dead rare
1,hey mate came home beach hella tired 4 hour ride
0,bummed retrorewind contest state hawaii
1,looked weather greece weekend 80 sunny omgz
1,shelleymcarthur cambie slightly event leave waiting feedback though keep u posted
1,jjkraal thanks fotoreportage coming soon
0,bike trail 1 miss j 0 two front teeth 1 2 hopefully vacation suck
0,sfitzpatrick924 bahah sadly
1,rv109creek ay buti pa kayo uy thank you
0,uggh everything sending you keep sending twitter forward you suck life
1,happy mother s day mom there
0,kurttheobald problem unfortunately think something sort own
0,wish knew put through she stole heart never gave back and occasionally like like look have
1,relaxing night home best people
0,flu pas unto andy went shopping got fresh chicken chicken soup but d amp d sat is sad panda
1,hotpants79 two month something kinf prom really excited contact her
1,got home long day asda joy
0,school out work
0,back hurt heating pad it stupid ladder collapse make fall back bum
1,jaimemcknight yay mark issue too you ll find lot issue lmao
1,joycecherrier awww mean sound like overgrown age baby still stick bad yesterday still bad
0,ladylogan wish could but work on
1,jessejane look great morning already
1,
1,good morning tweeter happy monday grab big cup coffee new week
1,yes minute sims plus season fun fun expansion
0,danger_skies got singing falling love now only changing week day saturday quite fit
0,ashleygofficial aww dont cry ashley
1,glad friday got work tired
1,spending time mommy later today
1,pub garden boiling hannah likey
1,spreadingjoy hello there thankyou always seem make difference someone s life everyday
1,davidarchie hey david wondering received letter song it malaysia please reply nice day
1,laurenconrad http twitpic com 4wh4d lauren amazing well see hill lol seem like great friend have
1,everraven figured bouncing
1,christa42 mean post concert blue lol well soooo know mean
1,candyconquest yes are thanks haha do field flower exist singapore well one frolick in s
0,beccachan happy birthday sorry blank one sister messed up
0,dfizzy lucky week summer
0,tried swat fly buddhist magazine bad karma
1,well good job two cousin graduate good luck life lt never wear pajama pant school gt
1,borgintraining saw liked bad
0,katebuckjr sorry reach either url
1,meeting stranger lol alone vega amazing
1,ferrao california waiting every little thing s gotta right putz adoro essa banda
1,straighening hair going straight want bummerrr
0,saddest celeb story week http bit ly h09ph
0,misterperturbed ordered replacement palm centro cuz phone got kill t wanted palm pre cant afford data plan
0,went athletics carnival today tired tired hurt back jumped second time high jump
1,ha sure hey text normal
0,glad friday two class lazy afternoon bad isnt nice warm today
1,happy clean squeaky clean
1,glad good job
0,cold wish shelby_says tattoos1985 cuddle
0,really sad shes missing critical mass
1,hanging roomy adore gentleman live with great people good talk discussing boy issue
0,aplusk awww here waz uuuup seriously glad y all fun bad invite got lost mail lol peace xo
1,apizzle86 thanks 80 made morning
1,today good little girl hollie bgt complete sympahty vote cute aidan davis l tweet x
1,heyrbk ohh shardup hehe he hot lah gotta admeeet bleh
1,finally packed thinking time sleep ready chicago
0,shanelapoint hey hunnie u miss talkin u ty follow
1,follower gosh darn good mood atm might bbq later heat waaaave lt 3
0,disturbed sold baby tiger met thailand exotic pet greedy bastard
1,
1,ready crash had great day fun night ask anything night
0,especially hard get bed morn cuz hot running late stuck front mirror checking
1,licking chocolate crumb twirl wrapper like zammo smack
1,turch aww congrats family send piccies email
1,hey good morning guy
1,made best turtle ice cream pie everrrrr btw happy soon be mother day
0,everytime send email coach feel need practice shitty ball lol
0,cant believe er
1,sitting garden mummy also got text boy thought got hint obviously not
1,happy mother s day gonna awesome blessed day getting ready bed beautiful sunny sunday
0,impala_guy would luv hear music iï ½m battery tv play besides think kind vampire movie
0,hour sleep mild hangover carelessness loss brand new ipod pouch
0,bad red devil disappointing say least
1,yay good way end night
0,
0,oh usual warn new follower tend over tweet canuck game apology advance
0,misscaseyb know mean rain suck
1,jakpedz come out
1,watching new season eleven dvd
0,elf_princess69 hehehe barry killer u need pic
1,went party last night dindin showed matching outfit great mind think alike anyway happy birthday ate lara
1,wake early goddam 7 30 last day bummer
1,free unlimited ringtones http tinyurl com freeringring usa awesome iphone
0,botanical garden beautiful forgot extra memory card picture today
0,jonjordan w00t glad hear it though missing watching outside igloo day
0,went really well vid didnt work im sad
1,
0,ksegiii cousin moved like year ago miss much looking facebook im sad
0,scarymommy sure entire blogroll terribly updated could motivate update redo it
0,ever realized never fully everything want feelin down
1,
1,ok star trek fan given new movie good review getting excited
0,rubyredsocks yup day older
1,saralds thanks that sara
0,brendonbudness unfortunatley tooth kind crown
0,people talk gone
1,flisstee oh fabulous ta coffee too obviously although cup large enough embrace deficiency
1,cassowaryjewel excellent point
0,theroser miss much o
0,aw wee lassie made cry tear streamin doon face lol thats wee shame x
1,avrilchan course u mind old ppl well
0,piecing photo quilt boeing employee hung huntington beach sadly many people quilt pic laid off
0,getting ready leave girl scout metting don t feel like 2
0,really sorry becausei looking forward it thought itd fun u wanted hear it iowe u beer
1,
0,electrax i m sorry still sick u know them know u guess quot pelzer present quot
1,cant contain myself tooooooo excited
0,zaidah1 can t listen music work probably could try start hunting new job monday
0,dhughesy me oh wait wrong state
1,awesomeness she come way lol dun dun dun
0,robertpound groom think die old maid lol
1,wooh 100th tweet life xd
1,best lazy really productive day ever many option lay ahead me job prioritize thank u universe luv dd
0,funny said never make look far come im back heahhh um yeah school
1,itsjakey love call chica
1,
1,missamanda yeah take care tonight tomorrow pay night easy
1,detrick hey glad friday happy ate bad apple
1,mitchalbom much enjoyed quot whats name quot article
1,owenong look good making hungry boy stll asleep
1,listening prima j rockstar dang catchyy
1,phone keep beeping me thanks alan speeeeeen
0,unitechy wud like to actually free weekend time family visiting staying put next time
1,thank god starbucks
1,playing pacman box a achvs taking g exactly 47000 nice
1,nextread agree keep star trek make commercially viable c mon
0,
1,omg sun glimpsing cloud woohoo
0,tired but can t go bed yet
1,got great expectation tomorrow gonna awesome http blip fm 5jf53
1,love family feud episode kardashians tonight
0,mmm home made pizza that helped make home made cheesecake to eat soon amp family nice day mother amp nanna
0,think need new friend
1,
0,soo tired head hurt love andy sooooo much
1,jordansgirl81 drag but part come handy hee hee
1,leahita sweetie lucky too liberty
1,waking vega goooooooooooooooooooooooood
0,jewelinthesky able create itunes acct longer redeem kris allen album note said got canceled
0,hate quot out of nowhere quot stuff
0,lot catch weekend bhr host busy busy busy http plurk com p rqpl7
0,divabat sorry hear that lost two hard drive year know feeling
0,ran outta bathroom pass maybe mr french nice today
0,wethehunter sun florida it s rainy cloudy
1,looking forward cambridge weekend shopping ilze
0,oh yeah like waking early around mid day get tired
0,thebigmac cool boob itch got sunburned volcano
1,wooow charged ipod touch day today still alive that s coolio
0,tooshie interesting people like never bored tooshers
1,hope school gonna good tomorrow
1,jen004 nope quot done quot yet
0,omg got sleep again neighbor building deck amp starting 5 00am tired feel like took benadryl
0,last day senior bye bff
1,emmilyxoxo wow that must sooo cool
1,griffreviews lol yea know almost done semester week yay
0,retrorewind dave can t happen working listen whining big time
0,shit back home tallcree rez cant see boyfriend
1,serenechai that s cool think del s going korea time you fun
1,feel home back church
1,hyperopia feeling better it breakfast time
1,still up thank praying ahahaha watching britney record school today good day
0,headache killing yet need cover boring police event
1,mundah really glad able watch game
0,watching thomas train engine make miss george carlin
1,igortizz hahahahaha u look really good ur picture
0,ohhhh sad i didnï ½t get it
0,_idance19 well yes lol chat earlier willing learn anything else
1,cybersleeper awww man suck big time look way give something look forward too nice long ride
0,sleeping soo good woke like min ago n got sick feeling great wanna go back sleep wide awake
1,jasonperryrock cat clean again hope xx
1,justinphillip awesome kind
1,mrspinkyivory hey pinky ordered stuff site gave me got yesterday mail pretty thanks
0,sometimes forget boy feeling
0,miss feb 23rd best night whole entire fucking life rather re live night win 1million
1,jeff right call duty pwns gotta figure xtra copy wolvarine bought earlier week
1,thebraysmommy thx hoping good week
1,morning im ready weeee sunday
0,there s one cherry dr pepper left fridge thank god im addicted stuff sad thing skin
1,missing you amp hoping talk soon i m happy mine again though idea lt 3
0,steffisticated recorded sent people obviously meant get there didn t feel bad
1,vestacaro already get tax money helio winning pole position ha ha
0,
1,lmao ummmm nothing
0,im sick sad cold
0,spoke class dreaded ch13 bio test
1,david_henrie http twitpic com 4jbsq look good want one
0,majorspoilers majorspoilers com problem cannot get site working
0,thenewbradie tv working wanna watch vhits
0,thought cavs would crush magic come home north realize wrong wa
0,abbyro good good sched sadly
0,xxpat not school wouldnt suck time
1,samiyusuf sir everything great inshaa allah
1,man thing would chng vega british boy wayyyy hot
0,rvds dammit wanted ask someone might shooting cant remember name
0,eddieishere walk street london town no field
0,wanted go basshunter concert tonight wanted to
1,my3boybarians laughing quot ah ha quot moment get coffee
0,jennifalconer would like swap i m sitting grumpies
0,cant find key
1,sharlynnx too please come online hope amazing weekend
0,adotevans im bad day
0,people txting sorry phone dead can t resurrect it hopefully verizon replace back tonight
0,sarahfenn prefer overcast day too sorry hot are
1,sweet_libertine um glad enjoyed it
0,tmg25 tried help
0,
1,
1,noxhanti lol gt mention it pleasure
0,need friend right feel like mmmm sosad
0,comin back mall didnt get anything cause money stuff tuesday pay day ilu joshy
0,zee can t gravity let me
1,order pizza pizza girl sing it love new song excited new song jb paranoid day
0,chickwoman97 im riding high low mood now chore blow
0,dish i miss kitchen team
0,iamnauj can t wish sleeping gotta work less hour wait what re u up
0,tv arrived can t play co go stupid work
0,rehearsal gonna miss game please keep updated go nugget
1,dutchreaganite need plenty quiz get work day
0,
1,proud ceviche bellini turning well loving smell fresh flower house
0,tennydesign rogï ½rio minotouro fight now
1,realized tonight s drake
1,playing d j ray s ride way delish sushi
0,regrettin decision made
0,heading work friday off
1,philipgranger thanks follow raise hand
1,scratch that watching marley me thinking could stay awake better one
1,good nite everybody lt baby boy gt
1,divadivachrissy lol wat u making come da way overr for v
1,keza34 sound like kinda day
0,everyone working tonight bored
0,going work one suck miss happy hour sonic
1,last year right around time black parade dead came out awesome time man
1,
0,maczombierawr wish left dead first need something play on
1,http twitpic com 4jcwm yes ubook lenovo t400 finally arrived
0,finsh work eleven even allowd cauz really dont want to lol
0,made work get feelin blurgh
1,jules23 know i would too yes cant wait bb love it heard theyre showing hr live streaming year though
0,canï ½t stop loosing worst month result ever bubble two time row
0,feeling bit lonely
0,monkeymad2 nooooooo receipt break heart
0,sweetpea2809 here sad time
0,trying sleep watching cnn thinking today meeting work best buy 24 7 life oh well whatever pay alcohol
1,painted nail metallic blue iï ½m really sure look itï ½s pretty weird color think itï ½s cool
0,
1,watching snl ucsd girl laughing twitter blackberry joke thought tweet that
0,2moro end stay grandma bad shes ny 2ft laud 4a weddin florida fun miss home spike car lol
1,learning play sweet child mine guitar yay
0,kyle_newman called sold out bummer next time
0,bored tear without boy dad s week
1,pretty happy thing changed past month definitely best
0,tired friendster account
1,kluless65 fantastic jjj you question already teacher s pet
0,shortword ah cool yeah see really handy thanks
0,conference call hp gave invalid pas code can t attend
1,sashagrey since reading twilight series watching underworld today gotta say perfect pic day
0,lakers stu lantz awesome miss chick hearn tho
0,danger_skies miss is i never want come home seriously
1,evanlyoko yay least get see next year sad too
0,friday i nothing sad
1,ordered cuuutest invitation new nieceï ½s christening arrived back sa sorry wont make
0,miss_rain oh hell way tell me
0,rdougan wish wa well past hour been bed proper migraine
0,killer headache want food here
1,tomorrow warm day reason like sun much xd go swim d that s better xd
0,therealscarab better snicker bar hershey w almond use b addicted b4 miss lol
1,restoring new itouch 2 excited use it yeeeeeeeee goodbye itouch 1
0,oh god twitter feed taken geeky stuff bmw brampitolo kodinlanewave kenkeiter funny wish understood
1,friday yay bonus drive wale tonight athough miss kitten cuddle going ride
1,steven_morales like you mean random person obviously know you but think alike
0,stood curler burnt burnt hand picked up
0,gossip fluffodile here latest mad night teg jack lou tess frey gender war v sad friend also
0,zobi09 haha yes hard work too get home 3 00 am like sleep haha
0,tinogomes marcelon passed away
1,omgoodness finally back dinner fam bam
0,cacaubrazil that s great guy related
1,good morning hope u great day
1,septemberblues thanks hun great
0,arm making want cry also shot made sick
1,hey elliotcole thank much followfriday failed miserably get list together week
1,heading schoool going good day knoww
1,might start spanish any min now nope can t it xx
0,net died yeah sad
1,finished filming day another fun day set hahaha
0,thejiggerjames same party tonight jig
1,got paycheck april bonus b deposited 2day rest gotta wait til mon
1,car home yay 613 22 boo paying mom installment gave 200 today need win lottery
1,aclockworktoad yw get really hot middle summer like 110 right perfect less hour away
1,elle6503 woo hoo made one favorite see monday s rock
0,trip dc next week canceled so artomatic beer genehack
1,fun time allegra tonite saw 17again good movie
0,shakes1327 sadly robot song library
0,dutchreaganite roflmao feel inspired go start huge bonfire
0,good day havent good week forreal
0,ezrabutler headache morning after instead
1,oh hella forgot say official good morning like hear it go goooooooooooood morrrrrrrrning twitterville lol
0,happy dont know reason
0,flashyfem sorry hear that already much planned weekend considered going too
0,going bed pain fell shoulder today good night
0,want see drag hell get feeling none friend go w
0,alancarr quaver sandwich tea
1,dandineen uce pgce went leicester main degree though
1,romantic evening papa murphy quot battle bc quot history channel
0,x_crazyangel gah gregg got hot talented vote dammit
1,clairezee86 fo sho im
1,whew first night day summer were very sad but jess s grad party go tonight
1,happy star war day may 4th
1,installed inav iblue v2 theme give fresh feel http twitpic com 4jfg4
1,devyra haha love hmm lol need good band
0,philispig competition around corner take slow least week twisted ankle back jc awfully painful
0,blerg damn monday must always come decent weekend new glass hair color got carded gamestop awesome ego boost
0,edge left contributor list month s issue x ffs lt werd
0,swine flu temperature screening feel like criminal cold
0,chevelleluv p s sorry ur uncle
1,hottvampchick excellent never know lmao
1,back lunch ready go homeeeeeeeeeeeeeee
1,day hour work really like job fabulous b
0,twisty7867 using paint net x64 running crazily fast can t afford cs4 unfortunately yet
1,brianiwama amen brotha
0,killzonedotcom ti sad day
1,happy nurse week first one rn s
0,sad sad sad thought aunty stina coming looking forward family i miss dat alone maui
1,stapler haiku whar night woo hoo yeah beautiful night party oops stapler
0,squiretwizz right sympathy well
1,rayrayyyyy quot now never quot make cry everytime lol
1,put tv canuck game score yaay come vancity baby i know can t believe watching hockey either
1,westend now enjoying sun
0,no keyboard cat is ha dead year play off keyboard cat
0,dannygokey im upset u u weekly uncle work apparently didnt know big fan am
0,
1,add let play something
1,woman science amp technology conference la jolla interesting day met really great people
0,
0,ok want quit job
0,chantalclaret d get hate tweet that s sasd
1,gozinepetter love song liked movie
1,
1,
0,kristinholder aww sad get go going away party stupid work
0,fuck can t feel like cry bit realy want bothering sooooooo much
0,sibling left alone bored
0,
1,queenchinab seemed happy
0,still feeling well
0,jonkragel sick like day now
1,
1,theellenshow kalebnation twilightguy com kalebnation com youtube com kalebnation put show sry spamming love
1,britt came way say may fourth you work done
0,displayspook damn missed
1,finally got twitter follow tweet lt 3
1,live long prosper fb
1,done haha house md marathon ulet
0,
1,msstacy13 well thanks thinking me ever get scratch one well right here
1,katiesol re entered brain orbit thanks watching ryan reynolds mugging away quot just friend quot recently
0,today sore surgery day glad took extra sick day full recovery expected week calling lawn service firm today
1,hollywoodtv alison great around miley love meet her see tell give shoutout brad92190 1 fan
0,paulaabdul canceled performance letterman sad less option you
0,nw macedonia rainy day row
1,emjaystar haha thanks yep definately dream come true excited camera shaking taking photo
0,curren y_spitta caught traffic around howlin wolf 30mins wondering wth going on musta nice
0,going excursion week twitting
1,natashabrown brad s face saw gift priceless thnx nat
0,baby left gonna get ready again leavin chili full _
0,plan today cleaning washing clothes amp cooking pork dinner weather bit dull hoorah bank hols though
0,_katieedwards can t yet back run text ring laters xoxo
0,naontiotami no missed
0,spgridview looking prettier pretty sure code ugly
1,got home work chugging big bottle apple juice
0,hi anybody else problem karma site working
1,david_n_wilson c mon like superpower explanation better lol
0,made okay rap mix couldnt stuff wanted im getting ready leave
1,watering plant home drinking delicious smoothie morgan jamba exploded
1,happy mom day
1,happy star war day may 4th via nige goth
1,misstaken77 always good polish comfort home nothing mischevious went down fab night gossiping
1,goodnight p thanks jailbreaking ipod stacie lt 3
1,ferretprincess hey miss jane you go film hope good family
0,sad discontinued sesame tofu salad trader joes
1,
0,really twitter mood today know
0,sigh it s always sad watch series finale no green wing left watch
1,exhausted sore sunburnt really happy
0,cried eye watching girl last period hahah
0,bed rest weekend next week neomonia suck
1,feel like bright new t shirt wish one
1,xo_nessa hiyaaa hannah asked wanted come girl aloud wil see skank money somwhere ï ½33 need
0,jonathanrknight understands long hour
1,love jonas brother trending topic maybe taylor turn next
1,ah thats better snow patrol stuck indoors still weekend coming fresh air excellent hope sunny
1,hey im back on msn work darn msn haha can t stop thinking 3d movie haha
1,2am feeding baby fun smile coo
1,doc_the_bigman hey ive never caught enyone live before
1,well interesting attempt commute work exactly plan end though great
1,littlefletcher oh yeah haven t seem age got watch soon thanks reminding me
1,good morning everyone enjoy day thinking tweet friend
0,always sunny day can t possible outside life get
1,everyone get buckonellen one topic thing
0,spiffums near him
1,kat_04071991 haaa awesome remember brother got given woody got upset cause got buzz got lmfao
1,sturday night live
0,last day off back work tomorrow
0,hitting bar two people lame tonight
1,coxrocks ha lead singer gave high five got one guitar pic
1,dannywood glad u could check u today keep touch
0,miss old ha ha can t tell person s name
0,
1,
1,czarinas78 ah seen both either way get experience fantasy sound shock wave vacuum space heh
0,maybe wrong week could stayed good
1,cschug do long think next weekend open going house warming party
1,urbalcloud hahaha secret door real batcave
1,treiz do still twitter com monicafrancesca see gino drag monicafrancesca ginoboi fun
0,honeyjune k guess cant help it byeee 4eva m really sad
1,inthebattle really cute one favorite
0,nathanblevins maybe next time can t away weekend much like jump car go pout
0,chocolovere feel way every day
1,enjoying bank holiday meeting real estate agent offer amsterdam apartment rent
1,steve_berra happy bday stevie bee and u want follower u get little tweety may baby r best 12th
1,tiesto vicky park excellent
1,finally beautiful sunny day atlanta bad stuck inside working
1,officially celebrating 400th tweet wow proud great
1,dannnnnniiiie lol brandy mr whisker
0,trying fix sister s ipod phoenix tomorrow morning 445am hopefully actually get play tournament stupid fence
1,yayz today s day call see got job x3 ish happy even though slept horribly kinda drained
1,johnlusher welcome wonderful day you stayin outta trouble ready crash party lol
1,excited taylor swift wednesday
0,bunny longing hoodie left car brrr
0,
0,
1,candypants2 did came cold cheese sauce good though
1,whohoo erin got accepted ottawa u nursing school algonquin pembroke campus may get girl back
1,fedgrub dull life soundtrack one favourite showss
0,lost dollar always lose money
0,pic wont load twitter
0,jferlee see last night oh well watch theater that s must
0,aww poor tank friend guild fucking promising main ot barely even get go now _
1,great date last night tried find cdcaves daniel hilariously fun
0,lrntoswim thx followfriday afraid remiss blip lately
1,whatswithinu much tune word today thanks
1,albz86 oh man wanna bay asap thank great day
0,hollytheboss lol sorry bout today did u get them amp else r u guyz doinq cuz c im eligable howeva itz spelled lol
0,hour left teenager ill sleepin 8 10 hour depressing
0,
0,warhammer 40k space marine officially announced ps3 luck pc gamers
1,eating chocolate ready break
0,watched devil wear prada want live new york city ever must poor
0,sasss09 hahaha sadly one s supposed done individually chance social loafing lol
0,know watch holly again break heart
0,dayna_aka_rowan could talking he s probably though
0,good morning scary world
0,ben amp jerry s fail got email free ice cream say click redeem coupon click get error message cherrygarcia
0,can t fix it guess write get bored watch tv man lame
0,dad quot no trip lahore you quot me quot i live dc amp nyc also big target quot bummer pizza hut chicken tikka pizza
0,course rain five minute finish watering flower took half hour water too
0,feeling rather peckish no dinner least hour wah
1,m3nny5 iye neh kurang tidur kayaknya pulang pagian deh hari ini tidur langsung haha thanks
1,like taking dog car run errand always excited go anywhere like morning krogers
0,kathtrinder samscam what s that sun sign
1,picture burn taylor swift great song
1,aspaphoto ahhhh you soo smart thanks schooling thought taught before
1,got home another wonderful night
1,fly_meaway sorry hon know feel though i m usually crazy family gathering probably hold back like also
1,going shopping sunday dinner round two p
0,prom tonight bad im going
0,joycewaddle like almost sholders
0,fast amp furious excellent movie andy great guy time lol
0,
1,oops forgot shave leg byebye favorite cousin bklyn two night row go hardd
1,jordanknight please wish wife evelyn happy mother s day tell hope wonderful day spoil today
1,photo jdperry seriously theseï ½pictures make day hahaha iï ½always go aroundï ½saying ï ½omg you http tumblr com xzn1pir8s
0,go gymnastics last day class
0,idk cant shit
0,fuuudge movie store closed
1,idmoore enjoy day too prob see u top glyders pint me gotta drive straight back got dog stuff sunday
1,
0,forget much miss tribe til limited access talking them spotty internet country long
0,think gonna try go vegetarian again and soda majorly cutback beer too many carbs but yummyyy
0,niecied nice idea m i l gift crochet it good idea looking online youtube video showing lefty crochet
0,ferretwho defeated polo
1,commonsense4 thanks appreciate know unsubscribe list grow tomorrow lol
1,carlie came fell asleep
0,saw trailer batman arkham asylum play joker that s ps3 exclusive damn hurt
1,rgoodchild yeah made great noise tripped house circuit breaker good time 200 worth part
1,dang it seems every time blip song unavailable
1,good time must sleep lol gym amp dance rehearsal like hour
1,hairboutique thanks btw men s hairstyle right now growing hair long anyway hope good weekend
0,actually hot today the sun got hat every one got tan except
0,disappointed didnt win teh glass
1,
0,going miss miss suhana
1,mbburns that s great news
0,
1,happy juddday everybody
0,
0,fooie yea fun dive a bit scary sometimes fun u like diving
1,hi all recovering party looking forward exciting bank holiday around diy shop life cant get much better surely
0,guitar lesson tomorrow wake early again
0,amazing hollyoaks poor warren lmao
0,miss daddy much
0,new picture upload
0,school going absolutely horrible today peace out 09
0,lovely day sky clear bird singing stuck office window hour
1,veeriwhoa oh silence verona wanting go jaja enjoyyitverymuch bring phothos danny dougie
1,pandamayhem noooooooooooo look lot picture lol lol
0,wondering happened sun damn may grey
1,another great workout feelin kind funny
1,eating tito s home made ice cream yum
0,rip kelly fucccccck
1,breporter thanks much following muse much gratitude wish magnificent amp productive start day
1,aww sunny day tasty barbeque family got bad sunburn though
0,suzanella missed mine too fun
1,cracking night last night think ever laughed much nice lazy day today woop
1,unclerush good morning you hope nice productive day
0,kimgoss saying past week miss playing spade drinkin chillin good old day let know baby
0,livetosingxo first fight
1,davedays gah got song itunes happy awesome keep up
0,hate car place lt jx gt
1,law week gonna go fuck excited
0,guess gonna try nap thing 2day since kid cooperated yet week sure 2day different
1,demiswissfan thanks lyxxx
0,aww danbharris getting married congrats new wife miss wn weekend people
0,headache right suck
1,seeing star trek tonight super stoked
1,b_wright thank you quot return mack quot jam
0,
1,lmao twitting thats never gonna get old haha
0,really tired sunday morning xxx
0,another friday night in man skint rubbish
1,came back seeing boat rocked amazingly cool movie definitely getting dvd
0,ecorazzi grrr people suck cry animal die nature show people sick hunting endangered specie
1,angelibarra guy rocked tonight yes u tacoma kid rule
0,mscrismusic wish u d
1,diamond compï ½tition yaayy tomorow diamond dance best still montrï ½al
0,workout stunk no headphone
0,mediatemple mt awful ftp service
0,want cry thought nba season almost next year miami
1,
0,lt ha internet weekend
0,found mj mouse flat dj course none left size
1,jtimberlake snl tonight going hilarious
0,one tesla dealership
0,enjoying sun heavy heart depeche weekend spending time man love double gutted
1,perfect sunday morning sun shining feel good time perfect breakfast
0,wow serious hard time sleeping decongestant keeping wide awake wanna sleep
0,djgigidred fare lady body nap work
0,time chat sorry girl miss y all new lawnmower yeah today s highlight tomorrow is
0,katrchrdsn without whipped topping shortcake shortcakefail
0,senior video mustang update gonna cry
0,leathermartini awwwh sorry glad closer u though
0,candymaize ok i kinda feeling ignored anyway sunday arvo 330pm going lunch amp wine
1,missxmarisa haha yeah think bit
1,ellisnyc earth none u walk water horny nerd trying find way thru life lol
1,watching video facebook make feel like biggest creep guess am also tweet 200 woohoo
1,like new trend who s next http tinyurl com qcy8d4
0,torn get extended warranty iphone mine run out jailbreak already got problem battery amp earpiece
0,davenavarro6767 columbus wanted say sorry missing indiana show tomorrow sad wood g
1,valerie2776 quite few peacock oceanographer s choice new favorite play
0,jesusfreak1900 probably suck you
0,miss_k_renee saturday cool friend job different position let know town again miss u
0,
1,got jojo free free drink mom kind night
0,sitting computer eating grape hailing outside o miss summer
0,mobileech looking new sm sending solution http promotion itagg com get ï ½6 free sm every itagg
0,brother 3 wandering around house underwear charming sister female guest sure
0,natebodnar going jordan told come im stuck work
0,way dad s sistas r i p deb
1,watching ace cake lost edition omfgggg
0,rebeccao372 bad but get bad news afternoon got stopped police brake light ï ½30 fine
0,gone miss kay way already
1,missrogue wow awesome review carry everywhere laminate it read down just plain cool
0,deathnerd ah man that s suck happened that s prompting reinstall
0,sigh ubank usb died afternoon r i p missed even chance parade around yet
0,mind sunshine walk you summer
1,latinavanessa sooo ready beautifyl day
1,realbillbailey really made night infact made weekend well done
0,wesleyadamquinn missed chicago show boo me
1,howie_d pleassure making smile nice day making smile well twitter aahhh nice
0,dinner yummy all still super tired thing went enroll college
1,dnt even like wearing skinny jean cuz yall bitch as ni99as
0,lovekelsey coming detroit grand rapid october
0,downside getting tdl day early time read til next week anyway still hurrah clutch close
0,leirastorm that s sucky miss on
1,sydney toyota landcruiser 10 000 new ad received posted hcc site soon
0,dad tv loud get creeped cuz im dodgy neighbourhood someone bush
1,missing husband nice wake parent house dog ecstatic
0,sad really really sad
0,maybe take drinking again feel massive hangover still yself today
1,woke cat face haha
0,wita still think unfair infamous pc
0,kirkfranklin therealmarymary yall auntie jus got n bad car accident pls pray god s b done
0,seagull hate im utterly depressed it miss him
1,redheadlori happy mother day
0,person online msn feel lonely
1,escape2thestars ok reached 3 000 tweet dreamland good sleep talk later
0,computer work hate me call tech support again
0,want burrito still minute work
1,watching twin handle mariner again whoo hoo tony http www trustyfotografie com
1,jkarney amtarot thank much
0,http twitpic com 61ov1 martinhiggins ahte stress supposed friday make wanna cry
0,spending weekend working even sound fun
0,feel crappy today
